FID,Submarket,Market
333,Medley,Miami
334,Miami Lakes,Miami
335,North Central Dade,Miami
336,Northeast Dade,Miami
337,South Dade,Miami
338,Southeast Wisconsin,Chicago
339,Milwaukee Downtown,Milwaukee
340,Milwaukee North Central,Milwaukee
341,Milwaukee North Shore,Milwaukee
342,Milwaukee Northwest,Milwaukee
343,Milwaukee South,Milwaukee
344,Milwaukee South Central,Milwaukee
345,Milwaukee West,Milwaukee
346,Ozaukee,Milwaukee
347,Sheboygan,Milwaukee
348,Walworth,Milwaukee
349,Washington,Milwaukee
350,Waukesha Northeast,Milwaukee
351,Waukesha Northwest,Milwaukee
352,Waukesha Southeast,Milwaukee
353,Waukesha Southwest,Milwaukee
354,East,Minneapolis
355,Midway,Minneapolis
356,Minneapolis,Minneapolis
357,North Central,Minneapolis
358,Northwest,Minneapolis
359,South Central,Minneapolis
360,Southwest,Minneapolis
361,St Paul,Minneapolis
362,Allied Drive/I-65,Nashville
363,CBD/Polk Avenue,Nashville
364,Elm Hill Pike/I-40,Nashville
365,Interchange City,Nashville
366,MetroCenter/Cockrill Bend,Nashville
367,Northeast/I-65N Corridor,Nashville
368,Branford,New Haven
369,Cheshire,New Haven
370,East Haven,New Haven
371,Guilford,New Haven
372,Hamden,New Haven
373,Madison,New Haven
374,Meriden,New Haven
375,Milford,New Haven
376,New Haven,New Haven
377,North Branford,New Haven
378,North Haven,New Haven
379,Orange,New Haven
380,Wallingford,New Haven
381,West Haven,New Haven
382,Woodbridge,New Haven
383,Brunswicks/Exit 9,Northern and Central New Jersey
384,Carteret/Avenel,Northern and Central New Jersey
385,Central Bergen,Northern and Central New Jersey
386,Central Union,Northern and Central New Jersey
387,Exit 8A,Northern and Central New Jersey
388,Fairfield Market,Northern and Central New Jersey
389,Hudson Waterfront,Northern and Central New Jersey
390,Hunterdon/Warren,Northern and Central New Jersey
391,Linden/Elizabeth,Northern and Central New Jersey
392,Meadowlands,Northern and Central New Jersey
393,Monmouth,Northern and Central New Jersey
394,Newark,Northern and Central New Jersey
395,North East Bergen,Northern and Central New Jersey
396,North West Bergen,Northern and Central New Jersey
397,Princeton,Northern and Central New Jersey
398,Route 23 North,Northern and Central New Jersey
399,Route 280 Corridor,Northern and Central New Jersey
400,Route 287/Exit 10,Northern and Central New Jersey
401,Route 46/23/2 Interchange,Northern and Central New Jersey
402,Route 78 East,Northern and Central New Jersey
403,Somerset,Northern and Central New Jersey
404,Suburban Essex,Northern and Central New Jersey
405,Trenton/295,Northern and Central New Jersey
406,Greeley/Evans,Northern Colorado
407,Loveland/Berthoud,Northern Colorado
408,I-25 North,Northern Colorado
409,Fort Collins,Northern Colorado
410,Alameda,Oakland
411,Berkeley,Oakland
412,Emeryville,Oakland
413,Hayward,Oakland
414,Oakland,Oakland
415,Richmond,Oakland
416,San Leandro,Oakland
417,San Lorenzo,Oakland
418,Union City,Oakland
419,Central,Oklahoma City
420,Northeast,Oklahoma City
421,Northwest,Oklahoma City
422,Southeast,Oklahoma City
423,Southwest,Oklahoma City
424,Council Bluffs,Omaha
425,Northeast,Omaha
426,Northwest,Omaha
427,Sarpy East,Omaha
428,Sarpy West,Omaha
429,South Central,Omaha
430,Southeast,Omaha
431,Southwest,Omaha
432,North Orange County,Orange County
433,South Orange County,Orange County
434,West County,Orange County
435,Northeast Orange Co,Orlando
436,Northwest Orange Co,Orlando
437,Osceola,Orlando
438,Seminole Co,Orlando
439,Southeast Orange Co,Orlando
440,Southwest Orange Co,Orlando
441,Chambersburg,PA I-78/I-81 Corridor
442,Reading,PA I-78/I-81 Corridor
443,Hazleton/Schuylkill,PA I-78/I-81 Corridor
444,Lancaster,PA I-78/I-81 Corridor
445,Lehigh Valley,PA I-78/I-81 Corridor
446,Boca Raton,Palm Beach County
447,Boynton Beach,Palm Beach County
448,Delray Beach,Palm Beach County
449,Jupiter,Palm Beach County
450,Lake Worth,Palm Beach County
451,West Palm Beach,Palm Beach County
452,Southeast Valley,Phoenix
453,Southwest Valley,Phoenix
454,Northeast Valley,Phoenix
455,Northwest Valley,Phoenix
456,Airport Area,Phoenix
