Broker,Year,Period_Type,Period_Number,Market,Submarket,Secondary Submarket,Property Type,Inventory SF,Vacancy Q,Net Absorption Q,Under Construction Q,Asking Rent Q,Delivered Q,Leasing Activity Q,LocationID,Prev_Year,Prev_Period_Type,Prev_Period_Number,Prev_Inventory_SF,Prev_Vacancy_Q,Prev_Asking_Rent_Q,Prev_Net_Absorption_Q,Quarter_Gap,Rent_Pct_Change,Inventory_Pct_Change,Vacancy_Pct_Change,Net_Absorption_Change
CBRE,2025,Q,1,Albuquerque,NE Heights,N/A,Industrial,482381.0,0.005,-1500.0,0.0,12.0,0.0,,Albuquerque_NE Heights_N/A_Industrial,2024,Q,4,482381.0,0.002,9.0,0.0,1,33.0,0.0,150.0,-150000.0
CBRE,2025,Q,2,Albuquerque,NE Heights,N/A,Industrial,482381.0,0.0,2460.0,,0.0,,,Albuquerque_NE Heights_N/A_Industrial,2025,Q,1,482381.0,0.005,12.0,-1500.0,1,-100.0,0.0,-100.0,396000.0
CBRE,2023,Q,2,Albuquerque,North 1-25,N/A,Industrial,16615610.0,0.006,-4619.0,138612.0,11.63,,,Albuquerque_North 1-25_N/A_Industrial,,,,,,,,,,,,
CBRE,2024,Q,1,Albuquerque,North 1-25,N/A,Industrial,16684839.0,0.036,12189.0,76574.0,11.75,,,Albuquerque_North 1-25_N/A_Industrial,2023,Q,2,16615610.0,0.006,11.63,-4619.0,3,1.0,0.0,500.0,1680800.0
CBRE,2024,Q,3,Albuquerque,North 1-25,N/A,Industrial,16684839.0,0.037,-7970.0,141574.0,9.5,,,Albuquerque_North 1-25_N/A_Industrial,2024,Q,1,16684839.0,0.036,11.75,12189.0,2,-19.0,0.0,3.0,-2015900.0
CBRE,2024,Q,4,Albuquerque,North 1-25,N/A,Industrial,16733539.0,0.037,10027.0,90039.0,9.24,65000.0,,Albuquerque_North 1-25_N/A_Industrial,2024,Q,3,16684839.0,0.037,9.5,-7970.0,1,-3.0,0.0,0.0,1799700.0
CBRE,2025,Q,1,Albuquerque,North 1-25,N/A,Industrial,16797708.0,0.039,-414.0,90039.0,11.61,16640.0,,Albuquerque_North 1-25_N/A_Industrial,2024,Q,4,16733539.0,0.037,9.24,10027.0,1,26.0,0.0,5.0,-1044100.0
CBRE,2025,Q,2,Albuquerque,North 1-25,N/A,Industrial,16796773.0,0.048,-99704.0,76574.0,11.43,13465.0,,Albuquerque_North 1-25_N/A_Industrial,2025,Q,1,16797708.0,0.039,11.61,-414.0,1,-2.0,-0.0,23.0,-9929000.0
CBRE,2023,Q,4,Albuquerque,North I-25,N/A,Industrial,16680168.0,0.037,-454568.0,76574.0,12.0,62038.0,,Albuquerque_North I-25_N/A_Industrial,,,,,,,,,,,,
CBRE,2023,Q,2,Albuquerque,North Valley,N/A,Industrial,2660178.0,0.0,0.0,,8.75,,,Albuquerque_North Valley_N/A_Industrial,,,,,,,,,,,,
CBRE,2023,Q,4,Albuquerque,North Valley,N/A,Industrial,2663822.0,0.004,-10724.0,0.0,11.0,,,Albuquerque_North Valley_N/A_Industrial,2023,Q,2,2660178.0,0.0,8.75,0.0,2,26.0,0.0,inf,-1072400.0
CBRE,2024,Q,1,Albuquerque,North Valley,N/A,Industrial,2663822.0,0.004,0.0,,11.0,,,Albuquerque_North Valley_N/A_Industrial,2023,Q,4,2663822.0,0.004,11.0,-10724.0,1,0.0,0.0,0.0,1072400.0
CBRE,2024,Q,3,Albuquerque,North Valley,N/A,Industrial,2599515.0,0.011,-82305.0,,11.31,,,Albuquerque_North Valley_N/A_Industrial,2024,Q,1,2663822.0,0.004,11.0,0.0,2,3.0,-2.0,175.0,-8230500.0
CBRE,2024,Q,4,Albuquerque,North Valley,N/A,Industrial,2599515.0,0.011,0.0,0.0,10.79,0.0,,Albuquerque_North Valley_N/A_Industrial,2024,Q,3,2599515.0,0.011,11.31,-82305.0,1,-5.0,0.0,0.0,8230500.0
CBRE,2025,Q,1,Albuquerque,North Valley,N/A,Industrial,2599515.0,0.024,-32891.0,0.0,10.93,0.0,,Albuquerque_North Valley_N/A_Industrial,2024,Q,4,2599515.0,0.011,10.79,0.0,1,1.0,0.0,118.0,-3289100.0
CBRE,2025,Q,2,Albuquerque,North Valley,N/A,Industrial,2599450.0,0.017,24267.0,,10.81,,,Albuquerque_North Valley_N/A_Industrial,2025,Q,1,2599515.0,0.024,10.93,-32891.0,1,-1.0,-0.0,-28.999999999999996,5715800.0
